"","m16_24","m25_34","m35_44","m45_54","m55_64","m65_74","f16_24","f25_34","f35_44","f45_54","f55_64","f65_74","NoCar","allCars","X1.1","X1.2","X2","X3","X4","X5","X6","X7","X8","Other"
"81",736,641,1170,1408,1223,1090,667,711,1331,1446,1344,1200,1161,11806,592,1788,3419,1641,1493,523,1039,569,255,1650
"82",6566,1631,511,340,404,187,7694,993,324,260,401,182,8040,11453,48,533,958,533,221,223,468,309,337,15863
"83",1142,1471,1435,1428,1179,974,1129,1607,1500,1480,1319,1056,2837,12883,497,2061,3988,2042,1241,694,1330,866,344,2658
"84",6361,2597,1117,655,576,276,7287,1969,789,587,474,312,14204,8796,44,462,964,706,352,418,943,790,940,17381
"85",1424,1410,1519,1546,1208,818,1472,1680,1740,1685,1252,892,7462,9184,145,490,1871,1730,891,1180,2902,2533,1419,3485
"86",1043,1246,1558,1471,1218,992,983,1348,1658,1527,1284,1032,2890,12470,335,895,2927,2234,1233,1324,2213,1839,436,1924
"87",2777,2343,1304,1077,916,524,2721,2074,1201,1025,878,601,7409,10032,144,1001,2365,1537,705,743,1673,1337,851,7084
"88",1556,1798,1765,1630,1281,871,1748,2132,1906,1737,1271,955,8045,10605,179,495,2015,2039,969,1368,3250,3140,1479,3716
"89",1151,1801,1693,1479,1199,744,1088,1888,1764,1645,1255,925,3557,13075,389,2303,3852,1980,1247,680,1517,901,730,3032
"90",1055,1476,1746,1660,1332,1009,998,1616,1708,1681,1495,1114,3330,13560,418,1239,3505,2648,1346,1258,2153,1751,460,2111
"91",1034,1733,1765,1517,1210,775,1096,1821,1706,1530,1245,891,4605,11718,325,1149,3154,2436,1130,1206,2308,1969,583,2062
"92",1029,1112,1475,1596,1527,1076,973,1194,1634,1656,1549,1200,3705,12316,353,1294,3473,2049,1533,1075,2306,1468,423,2047
"93",1071,1394,1613,1577,1249,894,1105,1589,1707,1621,1381,1075,4374,11902,335,1014,3087,2387,1330,1137,2314,1857,582,2235
"94",936,1136,1464,1419,1170,992,922,1296,1582,1470,1321,1079,3270,11517,391,1094,2952,2219,1123,1073,1978,1491,448,2018
"95",1109,1631,1673,1445,1241,712,1098,1664,1716,1586,1248,833,3340,12616,456,2353,3729,1611,1200,557,1269,746,889,3148
"96",1216,1088,1427,1630,1248,933,1155,1244,1552,1664,1259,1091,4483,11024,277,820,2729,2139,1106,1075,2070,1792,765,2733
"97",2567,1844,1218,1227,1075,608,2737,1625,1250,1304,1177,705,4636,12701,287,1716,2929,1386,851,589,1195,743,592,7050
"98",1085,1093,1445,1430,1340,1189,717,829,1346,1416,1482,1307,2220,12459,555,1634,3249,1888,1287,731,1518,1200,588,2028
"99",813,845,1109,1230,1052,822,775,888,1187,1245,1025,904,2114,9781,254,677,2284,1312,992,900,1472,1935,434,1634
"100",879,783,964,1026,920,620,879,893,996,1060,914,677,3625,6986,100,233,1036,932,535,936,1936,2270,868,1764
"101",919,1033,1278,1211,905,727,880,1068,1257,1196,899,757,3081,9049,188,496,1957,1589,796,1001,1831,2156,477,1639
"102",903,975,1188,1220,905,653,931,1015,1114,1173,932,724,3372,8361,159,361,1683,1366,686,1124,2204,2149,484,1517
"103",824,713,997,1152,1104,757,774,776,1084,1150,1062,861,2244,9010,252,613,2020,1332,863,850,1719,1626,374,1606
